id,title,description,skills,location,duration,organization
98,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Chennai,4 months,CodeCrafters
99,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,6 months,DesignStudios
100,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Ahmedabad,6 months,College Labs
101,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Pune,1 month,Analytics Hub
102,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,2 months,CodeCrafters
103,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Goa,1 month,DesignStudios
104,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Mumbai,6 months,Tech Startup
105,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Jaipur,6 months,MobileWorks
106,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Bhubaneswar,5 weeks,DataWorks
107,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,2 months,College Labs
108,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Kolkata,2 months,CodeCrafters
109,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Hyderabad,6 months,DesignStudios
110,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,3 months,MarketCo
111,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Lucknow,5 weeks,WebSolutions
112,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Kolkata,5 weeks,CodeCrafters
113,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Ahmedabad,6 months,DataWorks
114,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Goa,6 months,FinLabs
115,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Chennai,5 weeks,Tech Startup
116,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Kolkata,6 months,College Labs
117,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bengaluru,1 month,CodeCrafters
118,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Kolkata,6 months,DataWorks
119,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Delhi,1 month,WebSolutions
120,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bengaluru,3 months,DesignStudios
121,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Bhubaneswar,4 months,Tech Startup
122,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,1 month,WebSolutions
123,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Hyderabad,5 weeks,Analytics Hub
124,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Delhi,3 months,Analytics Hub
125,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Jaipur,5 weeks,Analytics Hub
126,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Bhubaneswar,5 weeks,MobileWorks
127,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Ahmedabad,1 month,WebSolutions
128,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Noida,3 months,MarketCo
129,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Hyderabad,1 month,MarketCo
130,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Dehradun,6 months,DesignStudios
131,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Gurgaon,3 months,MobileWorks
132,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Goa,2 months,Tech Startup
133,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Hyderabad,2 months,Analytics Hub
134,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Kolkata,4 months,DesignStudios
135,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Dehradun,1 month,MobileWorks
136,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Noida,5 weeks,College Labs
137,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Mumbai,1 month,College Labs
138,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Gurgaon,5 weeks,Tech Startup
139,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Lucknow,3 months,CodeCrafters
140,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Gurgaon,4 months,Tech Startup
141,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Chennai,2 months,FinLabs
142,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bengaluru,1 month,MarketCo
143,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,5 weeks,CodeCrafters
144,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Mumbai,6 months,MobileWorks
145,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Pune,4 months,FinLabs
146,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Delhi,1 month,DesignStudios
147,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Noida,2 months,Tech Startup
148,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Hyderabad,5 weeks,CodeCrafters
149,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Bhubaneswar,3 months,WebSolutions
150,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Pune,6 months,MarketCo
151,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Mumbai,6 months,MobileWorks
152,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Delhi,6 months,DesignStudios
153,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Bengaluru,5 weeks,FinLabs
154,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Bengaluru,1 month,Analytics Hub
155,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Goa,6 months,Analytics Hub
156,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Pune,3 months,FinLabs
157,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,4 months,WebSolutions
158,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bengaluru,1 month,DataWorks
159,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Hyderabad,4 months,Analytics Hub
160,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Chennai,3 months,MarketCo
161,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Bhubaneswar,2 months,Tech Startup
162,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Ahmedabad,5 weeks,DataWorks
163,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Noida,1 month,Tech Startup
164,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Goa,4 months,Analytics Hub
165,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Dehradun,2 months,CodeCrafters
166,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Chennai,5 weeks,WebSolutions
167,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Mumbai,2 months,MobileWorks
168,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Jaipur,1 month,College Labs
169,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Gurgaon,2 months,MobileWorks
170,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Ahmedabad,5 weeks,DesignStudios
171,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Bengaluru,2 months,College Labs
172,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Chennai,1 month,Tech Startup
173,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Bengaluru,6 months,FinLabs
174,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Kolkata,5 weeks,MobileWorks
175,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Lucknow,4 months,DataWorks
176,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Noida,1 month,MarketCo
177,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Goa,5 weeks,Analytics Hub
178,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Lucknow,2 months,Tech Startup
179,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Noida,3 months,DataWorks
180,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Goa,4 months,MarketCo
181,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Kolkata,2 months,Tech Startup
182,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Noida,6 months,FinLabs
183,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Ahmedabad,2 months,Analytics Hub
184,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Kolkata,5 weeks,MobileWorks
185,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,2 months,Analytics Hub
186,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Goa,5 weeks,College Labs
187,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Kolkata,1 month,College Labs
188,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Jaipur,3 months,DataWorks
189,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Gurgaon,4 months,FinLabs
190,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,5 weeks,Analytics Hub
191,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Kolkata,5 weeks,WebSolutions
192,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Gurgaon,5 weeks,Analytics Hub
193,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bengaluru,4 months,DesignStudios
194,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Delhi,1 month,MarketCo
195,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Noida,2 months,College Labs
196,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,5 weeks,FinLabs
197,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Kolkata,5 weeks,WebSolutions
198,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Lucknow,4 months,CodeCrafters
199,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Hyderabad,4 months,DataWorks
200,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Bengaluru,6 months,Analytics Hub
201,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Mumbai,1 month,Tech Startup
202,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Jaipur,3 months,Tech Startup
203,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bengaluru,4 months,DataWorks
204,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Goa,1 month,Analytics Hub
205,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Chennai,6 months,DesignStudios
206,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Lucknow,6 months,Analytics Hub
207,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Mumbai,3 months,DataWorks
208,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Goa,4 months,DesignStudios
209,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Lucknow,2 months,CodeCrafters
210,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,2 months,Analytics Hub
211,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Mumbai,2 months,DesignStudios
212,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Ahmedabad,2 months,MobileWorks
213,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,3 months,Analytics Hub
214,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Jaipur,5 weeks,Tech Startup
215,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Bhubaneswar,4 months,DesignStudios
216,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Delhi,6 months,Analytics Hub
217,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Goa,2 months,WebSolutions
218,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Lucknow,5 weeks,MobileWorks
219,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Delhi,3 months,DesignStudios
220,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Gurgaon,2 months,FinLabs
221,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Lucknow,5 weeks,Tech Startup
222,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Chennai,4 months,Tech Startup
223,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Pune,1 month,Analytics Hub
224,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Gurgaon,2 months,College Labs
225,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,2 months,MarketCo
226,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Lucknow,3 months,Analytics Hub
227,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Bhubaneswar,3 months,FinLabs
